,subset,clean_text,n_annot,mean_accept,mean_conf,label
68,eval,"So I asked the JCVI, the Government’s independent expert advisers on vaccinations, to urgently review how we could expand the programme, and whether we should reduce the gap between second doses and boosters.",4,0.25,4.75,0
69,eval,The JCVI published its advice in the last hour.,4,0.0,4.75,0
70,eval,"First, it advised that the minimum dose interval for booster jabs should be halved from six months to three months.",4,0.25,4.75,0
71,eval,"Second, that the booster programme should be expanded to include all remaining adults aged 18 and above.",4,0.0,4.75,0
72,eval,"Third, that these boosters should be offered, by age group, in a descending order to protect those who are most vulnerable to the virus.",4,0.75,4.0,1
73,eval,"So, priority will be given to older adults and people over 16 who are at risk.",4,0.0,4.5,0
74,eval,"Fourth, that severely immunosuppressed people aged 16 or above who’ve received three primary doses should now also be offered a booster dose.",4,0.0,4.75,0
75,eval,"Finally, that children aged between 12 and 15 should be given a second dose, 12 weeks from the first dose.",4,0.0,4.75,0
76,eval,I have accepted this advice in full.,4,0.25,4.5,0
77,eval,"It represents a huge step up for our vaccination programme, almost doubling the number of people who will be able to get a booster dose to protect themselves and their loved ones.",4,0.25,3.25,0
78,eval,And I know that we’re asking more from NHS colleagues who’ve already given so much throughout this crisis.,4,0.25,4.75,0
79,eval,But I know that they will be up to the task.,4,0.0,4.75,0
80,eval,And I’ll be setting out more details of how we’re putting this advice into action in the coming days.,4,0.25,4.75,0
81,eval,"Mr Speaker, our fight against this virus is a global effort, and so I’d also like to update the House on the part that the UK is playing.",4,0.0,4.5,0
82,eval,We currently hold the presidency of the G7.,4,0.0,4.75,0
83,eval,"We were unanimous in our praise for the leadership shown by South Africa, who were so open and transparent about this new variant.",4,0.25,4.75,0
84,eval,"And we were resolute in our commitment to working closely with each other, the World Health Organisation and, of course, the wider international community to tackle this common threat.",4,0.25,4.25,0
85,eval,"Mr Speaker, our experience of fighting this virus has shown us that it’s best to act decisively and swiftly when we see a potential threat, which is why we’re building our defences, and putting these measures in place without delay.",4,0.75,4.0,1
86,eval,"COVID-19 is not going away, and so we’ll have to keep seeing new variants emerge.",4,0.75,3.75,1
87,eval,"And as we do this, we are taking a well-rounded view, looking not just the impact of these measures on the virus, but the impact to the economy, education, and non-COVID health, such as mental health.",4,0.0,4.25,0
88,eval,And I’m confident that these responses that we set out today are balanced and responsible steps that are proportionate to the threat we face.,4,0.25,4.0,0
89,eval,"Mr Speaker, this year, our nation has come so far down our road of recovery, but we always knew that there’d be bumps in the road.",4,0.0,4.75,0
90,eval,But this is not a time to waver.,4,0.0,4.75,0
91,eval,It’s a time to be vigilant and to think about what each and every one of us can do to slow the spread of this new variant.,4,0.25,4.75,0
92,eval,"Getting a jab when the time comes, following the rules that we’ve put in place and getting rapid, regular tests.",4,0.0,4.75,0
93,eval,"If we all come together once again, then we can keep this virus at bay and protect the progress that we have made.",4,0.75,3.75,1
94,eval,The Joint Committee on Vaccination and Immunisation (JCVI) previously advised that those aged over 40 years and those at higher risk from coronavirus (COVID-19) should be offered a booster.,4,0.25,4.5,0
95,eval,"The booster will be offered in order of descending age groups, with priority given to the vaccination of older adults and those in a COVID-19 at-risk group.",4,0.0,4.75,0
96,eval,"In response to the changing risk posed by the Omicron variant, the booster will now be given no sooner than 3 months after the primary course.",4,0.75,4.25,1
97,eval,"In addition, a second dose of the Pfizer-BioNTech COVID-19 vaccine (30 microgram) for young people aged 12 to 15 years is advised no sooner than 12 weeks after the first dose.",4,0.0,4.5,0
98,eval,The overall intention of the measures advised above is to accelerate the deployment of COVID-19 vaccines and raise levels of protection across the population.,4,0.25,3.75,0
99,eval,"Professor Wei Shen Lim, Chair, COVID-19 immunisation, JCVI said: Having a booster dose of the vaccine will help to increase our level of protection against the Omicron variant.",4,1.0,4.5,1
100,eval,"This is an important way for us to reduce the impact of this variant on our lives, especially in the coming months.",4,0.25,4.75,0
101,eval,"If you are eligible for a booster, please take up the offer and keep yourself protected as we head into winter.",4,0.25,4.5,0
102,eval,"Continued efforts will be made to offer COVID-19 vaccination (first, second and booster doses) to adults who have yet to receive any COVID-19 vaccinations.",4,0.0,4.5,0
103,eval,JCVI will continue to review the programme and consider further evidence to ensure that health benefits are maximised alongside the rapidly evolving data on the Omicron variant.,4,0.75,4.5,1
104,eval,"The global community is faced, at a first evaluation, with the threat of a new, highly transmissible variant of COVID-19, which requires urgent action.",4,0.25,4.75,0
105,eval,Therefore today G7 Health Ministers held an urgent meeting to discuss developments with regard to concerns related to the Omicron variant.,4,0.25,4.75,0
106,eval,G7 Ministers reiterated the commitment to taking forward the pledges in the G7 Carbis Bay Leaders Communique and G7 Health Ministers declaration as well as the Global Health Summit and the G20 Rome Declarations.,4,0.25,4.75,0
107,eval,Ministers praised the exemplary work of South Africa in both detecting the variant and alerting others to it.,4,0.25,4.75,0
108,eval,There was strong support to set up an international pathogen surveillance network within the framework of the World Health Organization (WHO).,4,0.25,4.75,0
109,eval,"Ministers also recognised the strategic relevance of ensuring access to vaccines, including surge for vaccines absorption and country readiness for receiving and deploying COVID vaccines, providing operational assistance, taking forward our donation commitments, and tackling vaccine misinformation, as well as supporting research and development.",4,0.25,4.0,0
110,eval,"They indicated that in the coming weeks, ministers committed to continue to work closely together, with WHO and international partners to share information and monitor Omicron.",4,0.25,4.75,0
111,eval,Ministers committed to meeting again in December.,4,0.25,4.75,0
112,eval,"Dr June Raine, MHRA Chief Executive said: The public can be confident that our robust regulatory assessment supports the JCVI’s recommended extension to the vaccination campaign.",4,0.25,4.75,0
113,eval,This further strengthens our ability to ensure people are protected against COVID-19 and saves lives.,4,0.25,4.0,0
114,eval,"The vast majority of reactions which are reported relate to expected side effects such as injection site reactions and flu-like symptoms, as was seen in our initial assessment.",4,0.25,3.75,0
115,eval,Our proactive monitoring of the safety of booster doses does not raise any new concerns.,4,0.25,4.5,0
116,eval,We have continued to carefully scrutinise all the data we have available to us and our robust surveillance programme includes monitoring all suspected reactions for young people and adolescents as well as adults.,4,0.0,4.5,0
117,eval,We ensure all suspected reports are carefully followed up.,4,0.25,4.75,0
118,eval,"When you are called for your booster dose, you can come forward confident that the benefits in preventing serious COVID-19 far outweigh any risks.",4,0.25,4.75,0
119,eval,"Temporary and precautionary measures to prevent the spread of the new COVID-19 Omicron variant in the UK will come into force on Tuesday, the government has confirmed.",4,0.25,4.75,0
120,eval,"From 4am Tuesday 30 November face coverings will be compulsory in shops and other settings such as banks, post offices and hairdressers, as well as on public transport unless individuals are exempt from doing so.",4,0.0,5.0,0
121,eval,All travellers arriving into the country from 4am on Tuesday 30 November will be required to take a PCR test on or before day 2 and self isolate until they have received a negative test result.,4,0.25,4.75,0
122,eval,These PCR tests can be purchased from private providers.,4,0.0,4.75,0
123,eval,Free NHS tests are not valid for this purpose.,4,0.0,4.75,0
124,eval,This update adds to the measures rapidly implemented earlier this week to prevent the spread of the new variant including travel restrictions and meaning all close contacts of anyone who has tested positive for the Omicron variant are required to isolate for 10 days regardless of whether they have been vaccinated.,4,0.25,4.0,0
125,eval,"Individuals and their households are self-isolating and contact tracing is ongoing From 4am Sunday 28 November Malawi, Mozambique, Zambia, and Angola will be added to the UK’s travel red list After overnight genome sequencing, the UK Health Security Agency (UKHSA) has confirmed that 2 cases of COVID-19 with mutations consistent with B.1.1.529 have been identified in the UK.",4,0.0,4.75,0
126,eval,"The individuals that have tested positive, and all members of their households, are being re-tested and told to self-isolate while further testing and contact tracing is underway.",4,0.0,4.75,0
127,eval,One case has been located in the Chelmsford area and the other in Nottingham.,4,0.0,5.0,0
128,eval,The 2 cases are linked and there is a link to travel to Southern Africa.,4,0.0,4.75,0
129,eval,Confirmed cases and contacts are being followed up and requested to isolate and get tested as necessary.,4,0.25,4.5,0
130,eval,Travellers who have returned from these 4 countries in last 10 days must isolate and get a PCR test.,4,0.25,4.75,0
131,eval,UKHSA are following up recent arrivals from these countries.,4,0.25,4.5,0
132,eval,This adds to the 6 countries placed on the red list on Friday.,4,0.0,4.75,0
133,eval,We have moved rapidly and the individuals are self-isolating while contact tracing is ongoing.,4,0.0,4.75,0
134,eval,"We will do all we can to protect the UK public against this emerging threat and that is why we are surging testing capacity to the impacted communities and introducing travel restrictions on a further 4 countries: Malawi, Mozambique, Zambia and Angola.",4,0.75,3.75,1
135,eval,We will not hesitate to take further action if required.,4,0.25,4.75,0
136,eval,This is a stark reminder that we are not yet out of this pandemic.,4,0.25,4.75,0
137,eval,"Getting the vaccine has never been more important – please come forward for your first jab if you haven’t already and if eligible, book your booster as soon as possible.",4,0.25,4.25,0
138,eval,"Chief Medical Officer, Professor Chris Whitty, said: We will continue to work closely with the international community to quickly gather and analyse information on this variant to understand any possible increase in transmissibility or resistance to vaccines.",4,0.25,3.75,0
139,eval,"It is important that everyone takes sensible precautions – get a PCR test if you have symptoms, isolate when asked, wear a face covering in crowded and enclosed spaces, ventilate rooms, get your vaccine and boosters as soon as you can.",4,0.0,4.25,0
140,eval,"Dr Jenny Harries, Chief Executive of UKHSA, said: We have identified these cases thanks to the UK’s advanced sequencing capabilities which means we are able to find variants and take rapid action to limit onward spread.",4,0.25,4.5,0
141,eval,We are particularly grateful to public health colleagues in South Africa for early sharing of information on the Omicron variant to support global health security.,4,0.75,4.0,1
142,eval,"We are continuing our efforts to understand the effect of this variant on transmissibility, severe disease, mortality, antibody response and vaccine efficacy.",5,0.0,4.6,0
143,eval,"It remains vital to come forward for vaccination, wear a face covering in crowded places and try to meet people in well-ventilated areas.",4,0.0,4.75,0
144,eval,"From 4am on Sunday 28 November non-UK and Irish nationals and residents who have been in Malawi, Mozambique, Zambia and Angola in the previous 10 days will be refused entry into England.",4,0.0,4.5,0
145,eval,This does not apply to those who have stayed airside and only transited through any of these countries while changing flights.,8,0.0,4.75,0
146,eval,UK and Irish nationals and residents arriving from 4am Sunday 28 November must isolate in a government-approved facility for 10 days.,4,0.25,4.25,0
147,eval,"During their stay, they will be required to take a coronavirus PCR test on day 2 and day 8.",4,0.0,4.75,0
148,eval,The UKHSA designated variant B.1.1.529 as a variant under investigation (vui) on Thursday 25 November.,4,0.0,4.75,0
149,eval,"In response, the government announced that 6 African countries – South Africa, Botswana, Lesostho, Eswatini, Zimbabwe and Namibia – would be added to the red list.",4,0.0,4.75,0
150,eval,The B.1.1.529 variant includes a large number of spike protein mutations as well as mutations in other parts of the viral genome.,7,0.0,4.714285714285714,0
151,eval,"The UKHSA, in partnership with scientific bodies across the globe, is constantly monitoring the status of SARS-CoV-2 variants as they emerge and develop worldwide.",4,0.25,3.25,0
152,eval,We are particularly grateful to health protection specialists and the Government of South Africa for early sharing of local information on the Omicron variant in an exemplary way to support global health security.,4,0.25,3.75,0
153,eval,Thank you Madam Deputy Speaker.,4,0.0,4.75,0
154,eval,With permission I’d like to update the House on COVID-19.,4,0.0,4.75,0
155,eval,"But before I begin, I want to wish the Shadow Secretary of State well, as he recovers from COVID-19.",4,0.25,4.75,0
156,eval,"Madam Deputy Speaker, over the past 48 hours, a small number of cases of a new variant have been detected on our international genomic database.",4,0.0,4.75,0
157,eval,The World Health Organisation has called a special meeting this morning – and that meeting is taking place right now.,4,0.25,4.75,0
158,eval,"I want to update the House on what we know so far, why we’re concerned, and the action that we are taking although I must stress, that this is a fast-moving situation, and there remains a high degree of uncertainty.",4,0.0,4.25,0
159,eval,"The sequence of this variant – currently called B.1.1.529 – was first uploaded by Hong Kong, from a case of someone travelling from South Africa.",4,0.25,4.25,0
160,eval,The UK was the first country to identify the potential threat of this new variant and alert international partners.,4,0.25,4.75,0
161,eval,I want to reassure this House that there are no detected cases of this variant in the UK at this time but this new variant is of huge international concern.,5,0.2,4.6,0
162,eval,Further cases have been identified in South Africa and in Botswana and it is highly likely that it has now spread to other countries.,4,0.0,4.75,0
163,eval,"Yesterday, the South African government held a press conference, where they provided an update on what they know so far.",4,0.25,4.75,0
164,eval,"I want to put on record my thanks to South Africa, not only for their rigorous scientific response but the openness and transparency with which they have acted much as we did here in the United Kingdom, when we first detected what is now known as the Alpha variant.",4,0.25,4.5,0
165,eval,"Madam Deputy Speaker, we are concerned that this new variant may pose a substantial risk to public health.",4,0.25,4.75,0
166,eval,The variant has an unusually large number of mutations.,4,0.0,4.75,0
167,eval,"Yesterday, the UK Health Security Agency classified B.1.1.529 as a new Variant Under Investigation and the Variant Technical Group has designated it as a Variant Under Investigation with Very High Priority.",4,0.0,4.75,0
168,eval,"It’s the only variant with this designation, making it higher priority than Beta.",4,0.25,4.75,0
169,eval,"It shares many of the features of the Alpha, Beta and Delta variants.",4,0.0,4.75,0
170,eval,Early indications show this variant may be more transmissible than the Delta variant and current vaccines may be less effective against it.,4,0.25,4.25,0
172,eval,"It may also impact the effectiveness of one of our major treatments, Ronapreve.",4,0.25,4.75,0
173,eval,"In South Africa in particular, there has been exponential growth, with cases increasing fourfold over the last two weeks.",4,0.0,4.75,0
174,eval,"In Gauteng Province – which includes Johannesburg and Pretoria –some 80 percent of cases, when tested with a PCR test, have shown something that is known as the ‘S-Gene dropout’ which we associate with this variant.",4,0.25,4.0,0
175,eval,"So while we don’t know yet definitely whether the exponential growth in South Africa is directly associated with this new variant, this PCR test analysis does indicate that there could many more cases of this new variant than just those that have been sequenced so far.",4,0.0,4.75,0
176,eval,"So Madam Deputy Speaker, even as we continue to learn more about this new variant, one of the lessons of this pandemic has been that we must move quickly, and at the earliest possible moment.",4,0.25,3.25,0
177,eval,The UK remains in a strong position.,4,0.0,4.5,0
178,eval,We’ve made tremendous gains as a result of the decisions that we took over the summer and the initial success of our booster programme.,4,0.75,4.0,1
179,eval,But we’re heading into winter and our booster programme is still ongoing.,4,0.0,4.75,0
180,eval,So we must act with caution.,4,0.0,4.75,0
181,eval,So we’re taking the following steps: Yesterday I announced that – from midday today – we’re placing six countries in Southern Africa on the travel red list.,4,0.0,4.75,0
182,eval,"Those countries are: South Africa, Botswana, Lesotho, Eswatini, Namibia, and Zimbabwe.",4,0.0,4.75,0
183,eval,Anyone who is not a UK or Irish resident who has been in one of these countries in the last 10 days will be denied entry into England.,4,0.25,4.75,0
184,eval,UK and Irish residents arriving from these countries – from 4 am on Sunday – will enter hotel quarantine.,4,0.25,4.25,0
185,eval,Anyone arriving before those dates should take PCR tests on day 2 and day 8 – even if they are vaccinated and isolate at home – along with the rest of their household.,4,0.0,3.75,0
186,eval,But do not wait to be contacted – you should take PCR tests right away.,4,0.0,4.75,0
187,eval,"We have been working closely with the Devolved Administrations on this, and they will be aligning their response.",4,0.0,4.75,0
188,eval,"In recent hours, Israel has also taken similar precautions.",4,0.0,4.75,0
189,eval,"Madam Deputy Speaker, I wish to stress that we’re working quickly, and we’re working with a high degree of uncertainty.",4,0.0,4.75,0
190,eval,But this variant is a reminder for all of us that this pandemic is far from over.,4,0.25,4.75,0
191,eval,"We must continue to act with caution, and do all we can to keep this virus at bay including, once you are eligible, getting your booster shot.",4,0.25,4.75,0
192,eval,We’ve already given over 16 million booster shots.,4,0.0,4.75,0
193,eval,"The booster jab was already important before we knew about this variant – but now, it could not be more important.",4,0.0,4.75,0
194,eval,"Madam Deputy Speaker, we’ve made great progress against this virus – progress that we’re determined to hold on to.",3,0.0,4.666666666666667,0
195,eval,This government will continue do whatever is necessary to keep us safe – and we’ve all got our part to play.,4,0.25,4.75,0
196,eval,It comes as Variant B.1.1.529 is declared a variant under investigation (VuI) by the UK Health Security Agency (UKHSA).,4,0.0,4.75,0
197,eval,The variant includes a large number of spike protein mutations as well as mutations in other parts of the viral genome.,4,0.0,4.75,0
198,eval,More investigation is required.,4,0.0,4.75,0
199,eval,No cases have been identified in the UK.,7,0.0,4.714285714285714,0
200,eval,"From midday on Friday 26 November, non-UK and Irish residents who have been in these countries in the previous 10 days will be refused entry into England.",4,0.25,4.75,0
202,eval,UK and Irish residents arriving between midday Friday 26 November and 4am Sunday 28 November from these six countries will be required to self-isolate at home for 10 days.,4,0.25,4.5,0
203,eval,They must take PCR tests on Day 2 and Day 8 post-arrival.,4,0.0,4.75,0
204,eval,These can be NHS PCR tests and passengers should take them even if they have already booked or taken their lateral flow test.,4,0.0,4.75,0
205,eval,UK and Irish residents arriving from 4am Sunday must isolate in a government-approved facility for 10 days.,4,0.25,4.75,0
206,eval,"During their stay, they will be required to take a coronavirus test on day 2 and day 8.",4,0.0,4.75,0
207,eval,A temporary ban on commercial and private planes travelling from the six countries will also come into force at midday on Friday until 4am Sunday to reduce the risk of importing this new variant under investigation while hotel quarantine is stood up.,4,0.25,4.25,0
208,eval,This excludes cargo and freight without passengers.,4,0.0,4.75,0
209,eval,The UK government thanks the government of South Africa for its surveillance of this variant and its transparency.,4,0.25,4.75,0
210,eval,"Meanwhile UKHSA continues to monitor the situation closely, in partnership with scientific and public health organisations across the world, and we will offer to work collaboratively with the 6 countries that have been currently placed on the UK red list to understand the virus and possible mitigations.",4,0.25,3.75,0
211,eval,"We are taking precautionary action to protect public health and the progress of our vaccine rollout at a critical moment as we enter winter, and we are monitoring the situation closely.",4,0.0,4.0,0
212,eval,"I want to pay tribute to our world-leading scientists who are working constantly to keep our country safe, and I urge everyone to keep doing their bit by the getting the jab and following public health guidance.",4,0.25,4.5,0
213,eval,"Transport Secretary, Grant Shapps, said: We’ve always maintained public safety is our number one priority, which is why we’ve kept in place measures which allow us to protect the UK from new variants.",4,0.75,4.0,1
214,eval,"This is the most significant variant we have encountered to date and urgent research is underway to learn more about its transmissibility, severity and vaccine-susceptibility.",4,0.25,4.75,0
215,eval,"This is a clear reminder to everyone that this pandemic is not over, and we all have a responsibility to do what we can to limit transmission and reduce the infection rate and prevent the emergence of new variants.",4,0.25,4.75,0
216,eval,This means coming forward for vaccination as soon as possible and following public health advice.,4,0.0,4.75,0
217,eval,The first genomes of this variant were uploaded to the international GISAID database on 22 November.,7,0.0,4.714285714285714,0
218,eval,"Genomes have now been uploaded from South Africa, Botswana and Hong Kong but the extent of spread is not yet determined.",7,0.0,4.714285714285714,0
219,eval,The government has been clear it will take decisive action if necessary to contain the virus and has taken the decision to add these destinations to the red list.,4,0.25,4.75,0
220,eval,We continue to work with the hospitality sector to ensure it is ready to meet any increased demand – with hundreds of rooms on standby which can be made available to book as needed.,4,0.75,4.5,1
221,eval,"British nationals in these countries should check Foreign, Commonwealth and Development Office (FCDO) travel advice and follow local guidance.",4,0.0,4.75,0
222,eval,The FCDO will continue to offer tailored consular assistance to British nationals in country in need of support overseas on a 247 basis.,4,0.0,4.25,0
223,eval,The UKHSA produces risk assessments of the spread of variants of concern or variants under investigation internationally.,4,0.25,4.5,0
224,eval,"These risk assessments cover a range of factors for each country including assessment of surveillance and sequencing capability, available surveillance and genome sequencing data, evidence of in-country community transmission of COVID-19 variants, evidence of exportation of new variants to the UK or other countries and travel connectivity with the UK.",4,0.0,4.75,0
225,eval,"Background British and Irish citizens, or those with residence rights, arriving to England from countries on the red list must book a managed quarantine hotel in advance.",4,0.0,4.75,0
226,eval,"The quarantine package will include a managed quarantine hotel, quarantine transport and a travel test package for COVID-19 tests on day 2 and day 8 of quarantine.",4,0.0,4.75,0
227,eval,"Read more about booking and staying in a quarantine hotel Further information on international travel requirements can be found elsewhere on GOV.UK, including advice on transiting through red list countries.",4,0.0,4.75,0
228,eval,Bookings will open from midday Friday 26 November.,4,0.0,4.75,0
229,eval,"Pregnant women urged to get their COVID-19 vaccine, as further evidence published on the jab’s safety Of those pregnant women in hospital with symptomatic COVID-19, 98% are unvaccinated Vaccine continues to be the best way expectant mothers can protect themselves and their babies The country’s top doctors and medical experts are urging pregnant women to get their COVID-19 vaccine as soon as possible, as new data published by the UK Health Security Agency (UKHSA) today (Thursday, 25 November) provides further evidence that the vaccines are safe for this group.",3,0.3333333333333333,3.0,0
230,eval,"The data shows the vaccines have good birth outcomes in vaccinated women who had their babies up to August this year – with no consistent differences between vaccinated women and all women in the figures for stillbirths, low baby birthweights and premature births.",4,0.0,4.75,0
231,eval,"This is in contrast to those who catch the virus, with unvaccinated women at far higher risk of contracting COVID-19.",4,0.0,4.75,0
